"subj_code","condition_1","desktop_conf","attent_conf","scale_orient","DV_rating","Scenario","explanation","narrow_check","broad_check","age","gender","tech_issues","narrow_correct","broad_correct"
"2Ff29x3rT8yq",1,"1: I confirm","1: I will take it seriously","narrow_left",4,"spearNet_notKnow","He could be either fisherman or a hunter but because I couldn't actually see a net, which one might expect him to be carrying if he is also carrying a spear, he is marginally more likely to be a hunter.",2,1,54,"1: male",NA,"correct","correct"
"3T1gv2Z8F2Gu",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","In the scenario, it was indicated that both halves of the tribe had spears but half also had nets. I chose 50/50 because it is highly likely that the tribesman could be from both halves of the tribe since they all carry the spear. What differs is the net.",2,1,23,"2: female",NA,"correct","correct"
"7jfCFoYXeup2",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","If you cant establish if the person has a net then he could be either a fisherman or a hunter. The only way to determine is to see if they have a net which you do not know at this point",2,1,25,"2: female","No","correct","correct"
"a1GD9uja9HZM",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","50% are hunters and 50% are fisherman",2,1,70,"1: male",NA,"correct","correct"
"A7SeSqvF2uko",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","I think it is a fifty fifty chance because the only information you have is that you see them with a spear. There is not enough information to decide either way.",2,1,27,"2: female",NA,"correct","correct"
"BXyHRrYOFHlV",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","because there were it was 50/50 which they could both have spears",2,1,46,"2: female","none","correct","correct"
"C6yc3acskKP7",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","We know he has a spear so we know he's one or the other.  but we don't yet know if he has a net so we cannot yet classify him as a hunter or fisherman.",2,1,58,"1: male","none","correct","correct"
"DiDf8bfalMqo",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","He may have had the net hidden so I could not say he was definitely a fisherman or a hunter.",2,1,47,"2: female","No errors.","correct","correct"
"e4vNxXvP3ima",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","Since both tribe uses spear and we don't know if he has a net then there is a 50:50 ratio of him not having a net or having a net",2,1,30,"1: male",NA,"correct","correct"
"EwYufUTHJ1lP",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","100% carry spears, only 50% carry nets. If we know he has a spear, but not whether he carries a net also, then it follows there is still a 50% chance, without further information.",2,1,40,"1: male",NA,"correct","correct"
"GbDiC5gANBFg",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","If they both have a spear, but only one has a net, however I can't see if they have a net, then I must make the assumption that it could be either. ",2,1,25,"2: female",NA,"correct","correct"
"hGwFnK5FTSJX",1,"1: I confirm","1: I will take it seriously","narrow_left",3,"spearNet_notKnow","Since I am unsure if he has a net or not, I rated accordingly. I didn't choose with certainty but more than a 50/50 chance that he is actually a hunter and not a fisherman.",2,1,34,"1: male","did not find any errors.","correct","correct"
"HsHntx2fgliX",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","The description said that both hunters and fishermen carry spears, but that fishermen also carry nets.

The person I encounter carries a spear, but I cannot be certain if they carry a net or not, therefore there is a 50/50 chance they are a fisherman or a hunter.",2,1,40,"2: female","n/a","correct","correct"
"JttxmAJIutuI",1,"1: I confirm","1: I will take it seriously","narrow_left",4,"spearNet_notKnow","I believe it is probably an even split on whether they are a hunter or a fisherman. If I assume the net would be large, then it's more likely to be a hunter, as I don't know the size of the net for certain then it's a near even split, leaning towards hunter.",2,1,25,"1: male",NA,"correct","correct"
"oEhCKRubrMlg",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","i said 50/50 becuse we dont know all the details. He could definetly be a hunter, but he could equally still be a fisherman",2,1,50,"2: female",NA,"correct","correct"
"OpnAx7yczAao",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","both carry spears, one carries spear and net, only see a spear at this point so could be either",2,1,49,"2: female","none","correct","correct"
"pvvUPSHIjr0A",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","Both have spears but not sure of having a net gives a fifty fifty chance of either hunter or fisherman",2,1,62,"1: male","All worked ok, thanks","correct","correct"
"qvWIqDQ3Z75p",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","Well, all tribesmen have spears, so the information doesn't tell us one way or another which tribe of tribe he was from. So therefore it was simply 50-50 chance.",2,1,41,"1: male",NA,"correct","correct"
"SwJXR3DQRL51",1,"1: I confirm","1: I will take it seriously","narrow_left",5,"spearNet_notKnow","from the explaination both types of person carried spears",2,1,50,"1: male","none","correct","correct"
